symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMD,2021-09-16 04:00:00+00:00,104.915,106.75,103.76,106.22,38849271.0,253607.0,105.18677
AMD,2021-09-17 04:00:00+00:00,105.555,105.98,103.71,103.88,50367344.0,241387.0,104.489827
AMD,2021-09-20 04:00:00+00:00,101.58,102.51,99.51,101.55,46732486.0,368214.0,101.01691
AMD,2021-09-21 04:00:00+00:00,102.15,103.4299,101.18,102.82,36650728.0,229808.0,102.450975
AMD,2021-09-22 04:00:00+00:00,102.815,104.56,102.21,104.38,35355042.0,223484.0,103.817481
AMD,2021-09-23 04:00:00+00:00,104.89,106.86,103.89,106.15,33703846.0,225594.0,105.864534
AMD,2021-09-24 04:00:00+00:00,105.185,106.0499,104.68,105.8,27196116.0,187396.0,105.43605
AMD,2021-09-27 04:00:00+00:00,105.065,108.44,103.44,108.16,52862229.0,313963.0,106.736361
AMD,2021-09-28 04:00:00+00:00,106.835,107.65,101.42,101.52,76655843.0,479459.0,103.342723
AMD,2021-09-29 04:00:00+00:00,102.295,102.66,99.81,100.35,53564835.0,327769.0,101.178252
AMD,2021-09-30 04:00:00+00:00,102.08,104.44,101.99,102.9,59193539.0,347724.0,103.471236
AMD,2021-10-01 04:00:00+00:00,102.6,103.0,100.64,102.45,43331073.0,261474.0,101.855212
AMD,2021-10-04 04:00:00+00:00,101.742,101.85,99.82,100.34,43490830.0,299813.0,100.420339
AMD,2021-10-05 04:00:00+00:00,100.92,102.8699,100.6101,101.81,32657374.0,212575.0,101.864047
AMD,2021-10-06 04:00:00+00:00,100.445,103.72,100.35,103.64,40238395.0,254168.0,102.155778
AMD,2021-10-07 04:00:00+00:00,104.6,107.95,104.46,106.45,42873277.0,272756.0,106.718529
AMD,2021-10-08 04:00:00+00:00,106.55,107.28,104.89,105.06,31554469.0,201396.0,105.666332
AMD,2021-10-11 04:00:00+00:00,104.62,107.2,104.022,104.68,31822675.0,185909.0,105.937982
AMD,2021-10-12 04:00:00+00:00,105.165,106.04,104.34,105.04,34791612.0,199509.0,105.14479
AMD,2021-10-13 04:00:00+00:00,106.275,109.88,106.25,109.16,56774651.0,337146.0,108.774452
AMD,2021-10-14 04:00:00+00:00,110.5,112.22,109.6301,111.99,48592933.0,300564.0,111.405735
AMD,2021-10-15 04:00:00+00:00,112.505,112.835,111.11,112.12,35506865.0,228190.0,112.150725
AMD,2021-10-18 04:00:00+00:00,111.9,116.88,111.37,116.43,49570564.0,329077.0,115.20901
AMD,2021-10-19 04:00:00+00:00,116.16,117.17,114.47,116.33,40749435.0,259808.0,116.008385
AMD,2021-10-20 04:00:00+00:00,116.29,118.3001,115.421,116.39,35089284.0,217045.0,116.765481
AMD,2021-10-21 04:00:00+00:00,116.5,119.68,116.26,119.33,35735263.0,242456.0,118.350856
AMD,2021-10-22 04:00:00+00:00,120.825,121.56,118.37,119.82,39396908.0,282871.0,119.907905
AMD,2021-10-25 04:00:00+00:00,120.515,123.4599,118.6,122.36,50119527.0,349071.0,121.551425
AMD,2021-10-26 04:00:00+00:00,122.99,127.2,122.5782,122.93,60606539.0,447451.0,124.435321
AMD,2021-10-27 04:00:00+00:00,121.63,128.08,121.05,122.28,99538896.0,644388.0,124.219287
AMD,2021-10-28 04:00:00+00:00,122.855,123.5,120.26,121.16,59096677.0,359324.0,121.547697
AMD,2021-10-29 04:00:00+00:00,120.95,122.57,119.88,120.23,44801445.0,279721.0,120.874908
AMD,2021-11-01 04:00:00+00:00,119.45,125.67,118.1301,125.23,55793453.0,360186.0,122.208524
AMD,2021-11-02 04:00:00+00:00,124.98,128.455,124.2,127.63,54364476.0,356215.0,126.749693
AMD,2021-11-03 04:00:00+00:00,127.75,130.6,126.7901,130.53,60922465.0,383540.0,129.1619
AMD,2021-11-04 04:00:00+00:00,132.01,139.0,130.77,137.5,86305922.0,583580.0,135.359063
AMD,2021-11-05 04:00:00+00:00,139.185,141.22,134.42,136.34,66408098.0,471471.0,137.657166
AMD,2021-11-08 05:00:00+00:00,137.7,153.6,137.7,150.16,143624848.0,1043883.0,148.21035
AMD,2021-11-09 05:00:00+00:00,154.01,155.65,143.89,148.92,100475879.0,743198.0,148.831821
AMD,2021-11-10 05:00:00+00:00,143.93,146.3,138.52,139.87,84567737.0,622018.0,142.281896
AMD,2021-11-11 05:00:00+00:00,142.955,146.47,140.84,146.01,69243409.0,443403.0,143.972907
AMD,2021-11-12 05:00:00+00:00,146.025,148.59,144.25,147.89,53641862.0,355958.0,146.983042
AMD,2021-11-15 05:00:00+00:00,148.01,148.98,142.86,146.49,54459215.0,386068.0,146.010237
AMD,2021-11-16 05:00:00+00:00,145.93,153.08,145.34,152.45,54360111.0,397743.0,150.265883
AMD,2021-11-17 05:00:00+00:00,151.98,154.6599,149.69,151.34,55382928.0,410258.0,152.070697
AMD,2021-11-18 05:00:00+00:00,157.07,158.89,152.56,155.02,61883727.0,478307.0,155.534325
